stimulus_id,title,question_no,question,option_a,option_b,option_c,option_d,correct_option,answer_text
S1,洮河石雕兰亭集会图砚,1,这方砚的年代属于哪一代？,宋,唐,明,清,A,宋
S1,洮河石雕兰亭集会图砚,2,这方砚主要描绘的是哪一件历史文化事件的场景？,兰亭修禊（兰亭集会）,赤壁之战,玄奘取经,昭君出塞,A,兰亭修禊（兰亭集会）
S1,洮河石雕兰亭集会图砚,3,文中提到“洮河石”因产于哪里而得名？,甘肃省甘南藏族自治州卓尼县洮河之滨,江苏省淮安市青莲岗,陕西天兴（今陕西凤翔）三畤原,山东章丘龙山镇,A,甘肃省甘南藏族自治州卓尼县洮河之滨
S1,洮河石雕兰亭集会图砚,4,（难）文中提到唐代哪位书法家在《论砚》中评价过名砚？,柳公权,欧阳修,苏轼,赵明诚,A,柳公权
S1,洮河石雕兰亭集会图砚,5,（难）文中提到宋代哪位鉴赏家在《洞天清禄集•古砚辨》中记载了洮河绿石？,赵希鹄,李吉甫,韩愈,郑樵,A,赵希鹄
S2,秦石鼓,1,石鼓的材质是什么？,花岗岩,青铜,白玉,红陶,A,花岗岩
S2,秦石鼓,2,石鼓文刻在什么形状的石头上，因此得名？,鼓形石,方形石碑,圆形玉璧,瓦当,A,鼓形石
S2,秦石鼓,3,石鼓上刻的十首诗主要记叙什么内容？,游猎,祭天,治水,婚礼,A,游猎
S2,秦石鼓,4,（难）文中提到清代哪位学者用“如金钿委地，芝草团云……”来赞誉石鼓文？,康有为,欧阳修,赵明诚,韩愈,A,康有为
S2,秦石鼓,5,（难）文中提到故宫所藏的明初拓本，原为明代谁的旧藏？,孙克弘,安岐,董其昌,文徵明,A,孙克弘
S3,白玻璃单耳桃式杯,1,这件杯子属于哪个朝代？,清,宋,唐,汉,A,清
S3,白玻璃单耳桃式杯,2,文中提到这件杯子的材质是什么？,白玻璃,青铜,白玉,红陶,A,白玻璃
S3,白玻璃单耳桃式杯,3,这只杯子的造型像什么？,桃子,葫芦,莲花,方盒,A,桃子
S3,白玻璃单耳桃式杯,4,（难）文中说这只杯子通体刻了什么纹？,桃叶纹,龙纹,云雷纹,莲瓣纹,A,桃叶纹
S3,白玻璃单耳桃式杯,5,（难）文中提到“劈桃为杯身”寓意什么？,长寿,富贵,平安,多子,A,长寿
S4,木筒望远镜,1,这件望远镜属于哪个朝代？,清,宋,唐,元,A,清
S4,木筒望远镜,2,文中给出的全长是多少？,34.7厘米,22.4厘米,70.2厘米,90厘米,A,34.7厘米
S4,木筒望远镜,3,文中说明它属于哪种结构？,单筒折射式,双筒反射式,三筒折射式,单筒显微镜,A,单筒折射式
S4,木筒望远镜,4,（难）文中提到镜片属于哪一种透镜？,凸透镜,凹透镜,平面镜,棱镜,A,凸透镜
S4,木筒望远镜,5,（难）文中提到望远镜可以用于哪些用途？,天文观测、作战指挥、观赏景物,煮茶、烹饪、酿酒,织布、刺绣、纺纱,书写、绘画、刻印,A,天文观测、作战指挥、观赏景物
S5,小风扇,1,这件小风扇属于哪个朝代？,清,明,宋,汉,A,清
S5,小风扇,2,文中说扇页（扇叶）的材质是什么？,玳瑁,竹,纸,丝绸,A,玳瑁
S5,小风扇,3,扇页背后标有哪一行字？,英格兰制造,乾隆年制,康熙御制,大明宣德年制,A,英格兰制造
S5,小风扇,4,（难）文中给出的长度是多少？,26.5厘米,34.7厘米,22.4厘米,90厘米,A,26.5厘米
S5,小风扇,5,（难）文中说明如何让扇页转动？,用手捏动手柄,用水浸泡后甩动,用火加热后转动,用电池供电启动,A,用手捏动手柄
